,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genres
1145,06EAFIZpwSKY659b6KPtAR,Hawaiian War Chant,10,190120,0,['Tommy Dorsey'],['4WoGga7UeRcmjD4ufif4nG'],1925,0.694,0.363,10,-11.692,1,0.103,0.849,0.552,0.103,0.809,101.726,4,"['adult standards', 'big band', 'easy listening', 'jazz trombone', 'lounge', 'stride', 'swing', 'vocal jazz']"
1146,1wjpuZ24mVP7w6TqIuqd6E,Heebie Jeebies,10,171733,0,['Louis Armstrong & His Hot Five'],['0t4VVR2T9Sb0z3NdDdEU6S'],1925,0.668,0.321,1,-10.663,1,0.0916,0.983,2.67e-05,0.141,0.592,164.459,4,['new orleans jazz']
1147,6kKeXUi0zunKxWrB2uUyWb,Harlem On My Mind,10,209000,0,['Ethel Waters'],['3INcDDCxVKMIQT6rfR7kud'],1925,0.568,0.112,1,-13.026,1,0.0747,0.962,0.0,0.327,0.489,95.221,4,"['big band', 'harlem renaissance', 'stride', 'tin pan alley', 'torch song', 'vintage jazz']"
1148,7vHMW83G12ReQdIdeFjz1d,"Come Back, Sweet Papa",11,146240,0,['Louis Armstrong & His Hot Five'],['0t4VVR2T9Sb0z3NdDdEU6S'],1925,0.775,0.302,0,-10.082,1,0.127,0.916,0.553,0.0369,0.924,99.518,4,['new orleans jazz']
1149,4HkUx8zJPUEh9sSYjO0ki6,Doctor Jazz,10,200840,0,['Jelly Roll Morton'],['4XepUkisa56DUeA3gbjDQD'],1925,0.572,0.449,10,-7.531,1,0.038,0.984,0.0774,0.363,0.652,125.729,4,"['big band', 'boogie-woogie', 'dixieland', 'harlem renaissance', 'jazz piano', 'louisiana blues', 'new orleans blues', 'new orleans jazz', 'ragtime', 'stride', 'swing', 'vintage jazz']"
1150,4Jyc05T8jnG9aM2uEqYNiT,Gut Bucket Blues,9,159867,0,['Louis Armstrong & His Hot Five'],['0t4VVR2T9Sb0z3NdDdEU6S'],1925,0.573,0.306,0,-9.597,1,0.0513,0.988,3.19e-05,0.0786,0.738,146.726,4,['new orleans jazz']
1151,4UDpfCjrrVPOTm11qMpcPB,I Can't Give You Anything But Love - rare take,8,205693,0,['Louis Armstrong & His Hot Seven'],['267SHEPfqnF16IEmwbLhLQ'],1925,0.365,0.238,10,-12.767,0,0.0468,0.902,0.222,0.101,0.488,82.712,3,[]
1152,4pQDxL19Ou1UkKov5efhZ9,Who'sit,8,163600,0,['Louis Armstrong & His Hot Five'],['0t4VVR2T9Sb0z3NdDdEU6S'],1925,0.727,0.347,0,-10.413,1,0.0393,0.993,0.696,0.0718,0.868,106.336,4,['new orleans jazz']
1153,7iGSIYRmzu18rIMe8HrFkq,Cherry,9,192893,0,['The Big Aces'],['3KytYPf71rDhHrmTQFheR1'],1925,0.538,0.333,0,-10.38,0,0.0764,0.988,0.158,0.139,0.603,174.542,4,[]
1154,7on1N979cYvlNt3Nfrqicv,Sentimental Gentleman From Georgia,8,184707,0,['The Boswell Sisters'],['2mflSlnegn3rBmzsh08OcN'],1925,0.668,0.132,4,-12.561,0,0.094,0.956,4.84e-06,0.0776,0.733,122.527,4,"['big band', 'new orleans jazz', 'swing', 'vintage jazz', 'vocal harmony group']"
1155,08xsdHuewDXOOxslPfCePe,You're Next,5,194600,0,['Louis Armstrong & His Hot Five'],['0t4VVR2T9Sb0z3NdDdEU6S'],1925,0.626,0.227,8,-11.831,1,0.0581,0.985,0.0212,0.119,0.494,126.859,4,['new orleans jazz']
1156,0m6LYkcdwEK1V91QO3s8UE,You're Next,6,194600,0,['Louis Armstrong & His Hot Five'],['0t4VVR2T9Sb0z3NdDdEU6S'],1925,0.625,0.227,8,-11.828,1,0.0584,0.985,0.0216,0.119,0.474,126.859,4,['new orleans jazz']
